도착 시군구 코드,평균 이동 시간(분),이동인구(합),총 이동 시간,총 이동인구,나이,65세 이상 이동 인구
11010,60.15130726931941,41.91128910533045,29075578,20258827.46,65,33818
11010,60.15130726931941,41.91128910533045,29075578,20258827.46,70,26200
11010,60.15130726931941,41.91128910533045,29075578,20258827.46,75,20342
11010,60.15130726931941,41.91128910533045,29075578,20258827.46,80,16148
11020,58.45052819157701,44.128266213436994,28733286,21692705.49,65,34257
11020,58.45052819157701,44.128266213436994,28733286,21692705.49,70,25806
11020,58.45052819157701,44.128266213436994,28733286,21692705.49,75,19429
11020,58.45052819157701,44.128266213436994,28733286,21692705.49,80,14802
11030,58.49473956193934,34.24551511216526,26487237,15506848.68,65,30373
11030,58.49473956193934,34.24551511216526,26487237,15506848.68,70,22543
11030,58.49473956193934,34.24551511216526,26487237,15506848.68,75,16089
11030,58.49473956193934,34.24551511216526,26487237,15506848.68,80,12394
11040,58.87985072532899,39.00125676926962,27279447,18069555.27,65,31278
11040,58.87985072532899,39.00125676926962,27279447,18069555.27,70,22769
11040,58.87985072532899,39.00125676926962,27279447,18069555.27,75,16564
11040,58.87985072532899,39.00125676926962,27279447,18069555.27,80,12627
11050,61.80717385389429,42.697635316796024,26804906,18517366.67,65,28611
11050,61.80717385389429,42.697635316796024,26804906,18517366.67,70,21074
11050,61.80717385389429,42.697635316796024,26804906,18517366.67,75,15499
11050,61.80717385389429,42.697635316796024,26804906,18517366.67,80,11309
11060,60.74535666564985,37.893985491057045,28277328,17639877.61,65,33322
11060,60.74535666564985,37.893985491057045,28277328,17639877.61,70,25455
11060,60.74535666564985,37.893985491057045,28277328,17639877.61,75,19835
11060,60.74535666564985,37.893985491057045,28277328,17639877.61,80,15121
11070,65.21502292682673,38.63433603285224,25059916,14845861.77,65,27688
11070,65.21502292682673,38.63433603285224,25059916,14845861.77,70,20338
11070,65.21502292682673,38.63433603285224,25059916,14845861.77,75,14514
11070,65.21502292682673,38.63433603285224,25059916,14845861.77,80,10439
11080,60.97539109874098,41.78125411166273,27954290,19154699.51,65,31209
11080,60.97539109874098,41.78125411166273,27954290,19154699.51,70,23342
11080,60.97539109874098,41.78125411166273,27954290,19154699.51,75,17230
11080,60.97539109874098,41.78125411166273,27954290,19154699.51,80,13181
11090,66.48680773249738,36.26758934725094,23924081,13050239.21,65,25968
11090,66.48680773249738,36.26758934725094,23924081,13050239.21,70,19209
11090,66.48680773249738,36.26758934725094,23924081,13050239.21,75,13981
11090,66.48680773249738,36.26758934725094,23924081,13050239.21,80,10372
11100,68.36554141370944,35.406292274461315,22060398,11425008.61,65,24555
11100,68.36554141370944,35.406292274461315,22060398,11425008.61,70,17991
11100,68.36554141370944,35.406292274461315,22060398,11425008.61,75,13333
11100,68.36554141370944,35.406292274461315,22060398,11425008.61,80,9828
11110,67.93371046736779,50.21750543395726,28628896,21162862.01,65,29322
11110,67.93371046736779,50.21750543395726,28628896,21162862.01,70,21779
11110,67.93371046736779,50.21750543395726,28628896,21162862.01,75,16503
11110,67.93371046736779,50.21750543395726,28628896,21162862.01,80,12086
11120,69.19720818602048,48.04357979647956,25717696,17855780.78,65,26584
11120,69.19720818602048,48.04357979647956,25717696,17855780.78,70,19870
11120,69.19720818602048,48.04357979647956,25717696,17855780.78,75,13989
11120,69.19720818602048,48.04357979647956,25717696,17855780.78,80,10754
11130,61.38655317507868,40.496264487738365,26741640,17641266.21,65,28861
11130,61.38655317507868,40.496264487738365,26741640,17641266.21,70,21522
11130,61.38655317507868,40.496264487738365,26741640,17641266.21,75,15830
11130,61.38655317507868,40.496264487738365,26741640,17641266.21,80,12056
11140,61.9291102879107,51.62397665899014,30225617,25196011.04,65,30976
11140,61.9291102879107,51.62397665899014,30225617,25196011.04,70,23089
11140,61.9291102879107,51.62397665899014,30225617,25196011.04,75,16726
11140,61.9291102879107,51.62397665899014,30225617,25196011.04,80,12767
11150,62.972305876720796,43.950500804382074,22624816,15790623.83,65,24492
11150,62.972305876720796,43.950500804382074,22624816,15790623.83,70,18328
11150,62.972305876720796,43.950500804382074,22624816,15790623.83,75,12927
11150,62.972305876720796,43.950500804382074,22624816,15790623.83,80,9148
11160,70.96019114210434,57.642190685895706,30486485,24764699.1,65,29010
11160,70.96019114210434,57.642190685895706,30486485,24764699.1,70,21579
11160,70.96019114210434,57.642190685895706,30486485,24764699.1,75,15698
11160,70.96019114210434,57.642190685895706,30486485,24764699.1,80,11049
11170,65.30712691654416,41.42036758041297,25722714,16314364.44,65,28093
11170,65.30712691654416,41.42036758041297,25722714,16314364.44,70,20890
11170,65.30712691654416,41.42036758041297,25722714,16314364.44,75,14687
11170,65.30712691654416,41.42036758041297,25722714,16314364.44,80,10450
11180,67.40933246002592,30.076522458405357,19966105,8908425.34,65,20309
11180,67.40933246002592,30.076522458405357,19966105,8908425.34,70,14112
11180,67.40933246002592,30.076522458405357,19966105,8908425.34,75,9271
11180,67.40933246002592,30.076522458405357,19966105,8908425.34,80,6146
11190,61.30807098977743,54.47088992437248,30748266,27319166.72,65,34763
11190,61.30807098977743,54.47088992437248,30748266,27319166.72,70,26410
11190,61.30807098977743,54.47088992437248,30748266,27319166.72,75,19901
11190,61.30807098977743,54.47088992437248,30748266,27319166.72,80,15037
11200,59.79302746228641,38.834440677421426,26048952,16918301.75,65,30046
11200,59.79302746228641,38.834440677421426,26048952,16918301.75,70,22980
11200,59.79302746228641,38.834440677421426,26048952,16918301.75,75,17205
11200,59.79302746228641,38.834440677421426,26048952,16918301.75,80,13489
11210,64.36688534335673,47.295307126457224,27501846,20207723.99,65,28432
11210,64.36688534335673,47.295307126457224,27501846,20207723.99,70,21923
11210,64.36688534335673,47.295307126457224,27501846,20207723.99,75,15969
11210,64.36688534335673,47.295307126457224,27501846,20207723.99,80,12020
11220,64.03296779278968,63.44419732867633,32412912,32114881.69,65,34706
11220,64.03296779278968,63.44419732867633,32412912,32114881.69,70,26630
11220,64.03296779278968,63.44419732867633,32412912,32114881.69,75,20486
11220,64.03296779278968,63.44419732867633,32412912,32114881.69,80,15496
11230,66.01025750898174,88.58993223634235,37279755,50031784.36,65,38034
11230,66.01025750898174,88.58993223634235,37279755,50031784.36,70,29946
11230,66.01025750898174,88.58993223634235,37279755,50031784.36,75,22923
11230,66.01025750898174,88.58993223634235,37279755,50031784.36,80,16862
11240,71.78661863643588,79.38985580335859,33877900,37466057.7,65,32555
11240,71.78661863643588,79.38985580335859,33877900,37466057.7,70,24520
11240,71.78661863643588,79.38985580335859,33877900,37466057.7,75,17738
11240,71.78661863643588,79.38985580335859,33877900,37466057.7,80,12661
11250,72.59769819258544,62.66685316933961,27092372,23386329.6,65,26278
11250,72.59769819258544,62.66685316933961,27092372,23386329.6,70,19986
11250,72.59769819258544,62.66685316933961,27092372,23386329.6,75,14786
11250,72.59769819258544,62.66685316933961,27092372,23386329.6,80,10405
